Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.000000,0.815346,0.802993,0.815346,0.182306,2458771
1972-06-02,0.815346,0.817817,0.802993,0.805463,0.180096,1613885
1972-06-05,0.805463,0.807934,0.798051,0.802993,0.179544,2585251
1972-06-06,0.802993,0.825229,0.800522,0.820288,0.183411,2347469
1972-06-07,0.820288,0.820288,0.807934,0.820288,0.183411,1032077
1972-06-08,0.820288,0.822759,0.815346,0.815346,0.182306,1067491
1972-06-09,0.815346,0.822759,0.815346,0.820288,0.183411,1563293
1972-06-12,0.820288,0.835112,0.820288,0.822759,0.183963,1942733
1972-06-13,0.822759,0.835112,0.817817,0.830171,0.185621,2175456
1972-06-14,0.830171,0.835112,0.825229,0.830171,0.185621,2069213
1972-06-15,0.830171,0.837583,0.820288,0.820288,0.183411,2726909
1972-06-16,0.820288,0.835112,0.810405,0.835112,0.186725,2398061
1972-06-19,0.835112,0.844995,0.832642,0.844995,0.188935,1694832
1972-06-20,0.844995,0.849937,0.840054,0.849937,0.190040,2332291
1972-06-21,0.849937,0.854878,0.840054,0.840054,0.187830,2038858
1972-06-22,0.840054,0.847466,0.832642,0.842525,0.188383,2438534
1972-06-23,0.842525,0.844995,0.820288,0.840054,0.187830,1482346
1972-06-26,0.840054,0.840054,0.820288,0.830171,0.185621,1618944
1972-06-27,0.830171,0.837583,0.820288,0.830171,0.185621,2048976
1972-06-28,0.827700,0.827700,0.817817,0.822759,0.183963,1315392
1972-06-29,0.822759,0.835112,0.817817,0.835112,0.186725,1118083
1972-06-30,0.835112,0.849937,0.832642,0.837583,0.187278,2924218
1972-07-03,0.837583,0.844995,0.830171,0.840054,0.187830,824650
1972-07-05,0.844995,0.864761,0.844995,0.854878,0.191145,2903981
1972-07-06,0.862290,0.874644,0.862290,0.872173,0.195012,3895584
1972-07-07,0.872173,0.884527,0.867232,0.884527,0.197774,2119805
1972-07-10,0.884527,0.896881,0.882056,0.886998,0.198327,3091171
1972-07-11,0.886998,0.896881,0.886998,0.886998,0.198327,2185574
1972-07-12,0.886998,0.896881,0.884527,0.889469,0.198879,2696554
1972-07-13,0.884527,0.884527,0.859820,0.864761,0.193355,1113024
1972-07-14,0.864761,0.889469,0.862290,0.884527,0.197774,1583530
1972-07-17,0.884527,0.889469,0.862290,0.877115,0.196117,819590
1972-07-18,0.874644,0.874644,0.842525,0.867232,0.193907,1527878
1972-07-19,0.867232,0.879586,0.859820,0.872173,0.195012,2145101
1972-07-20,0.872173,0.877115,0.857349,0.859820,0.192250,1492464
1972-07-21,0.859820,0.864761,0.849937,0.864761,0.193355,956189
1972-07-24,0.864761,0.864761,0.835112,0.844995,0.188935,9733901
1972-07-25,0.847466,0.867232,0.847466,0.859820,0.192250,2696554
1972-07-26,0.859820,0.864761,0.854878,0.854878,0.191145,1355866
1972-07-27,0.854878,0.857349,0.849937,0.849937,0.190040,1133261
1972-07-28,0.852407,0.857349,0.852407,0.857349,0.191697,1128202
1972-07-31,0.857349,0.857349,0.849937,0.849937,0.190040,2043917
1972-08-01,0.849937,0.869703,0.849937,0.867232,0.193907,1806134
1972-08-02,0.869703,0.882056,0.869703,0.879586,0.196670,3020342
1972-08-03,0.879586,0.882056,0.862290,0.867232,0.193907,1305274
1972-08-04,0.867232,0.877115,0.859820,0.872173,0.195012,2145101
1972-08-07,0.872173,0.874644,0.862290,0.874644,0.195564,1962970
1972-08-08,0.874644,0.879586,0.869703,0.874644,0.195564,2403120
1972-08-09,0.874644,0.877115,0.869703,0.877115,0.196117,2479008
1972-08-10,0.877115,0.886998,0.872173,0.886998,0.198327,1163616
1972-08-11,0.886998,0.904293,0.882056,0.904293,0.202194,3162000
1972-08-14,0.904293,0.909235,0.896881,0.904293,0.202194,3313776
1972-08-15,0.904293,0.904293,0.894410,0.899352,0.201089,1254682
1972-08-16,0.899352,0.904293,0.886998,0.894410,0.199984,1532938
1972-08-17,0.894410,0.906764,0.891939,0.896881,0.200536,2726909
1972-08-18,0.894410,0.894410,0.879586,0.879586,0.196670,3050698
1972-08-21,0.879586,0.884527,0.867232,0.879586,0.196670,1295155
1972-08-22,0.879586,0.889469,0.869703,0.874644,0.195564,1431754
1972-08-23,0.874644,0.884527,0.862290,0.869703,0.194460,1654358
1972-08-24,0.869703,0.872173,0.849937,0.864761,0.193355,2155219
1972-08-25,0.864761,0.869703,0.849937,0.854878,0.191145,2823034
1972-08-28,0.854878,0.862290,0.847466,0.852407,0.190592,1436813
1972-08-29,0.852407,0.862290,0.847466,0.857349,0.192411,2140042
1972-08-30,0.857349,0.857349,0.847466,0.852407,0.191302,2231107
1972-08-31,0.852407,0.854878,0.840054,0.844995,0.189639,2190634
1972-09-01,0.844995,0.847466,0.835112,0.847466,0.190193,4877069
1972-09-05,0.847466,0.849937,0.842525,0.849937,0.190748,991603
1972-09-06,0.847466,0.847466,0.822759,0.827700,0.185757,1917437
1972-09-07,0.827700,0.830171,0.800522,0.802993,0.180213,3075994
1972-09-08,0.802993,0.822759,0.802993,0.815346,0.182985,1780838
1972-09-11,0.815346,0.817817,0.805463,0.810405,0.181876,1391280
1972-09-12,0.810405,0.817817,0.798051,0.798051,0.179103,1492464
1972-09-13,0.798051,0.810405,0.793110,0.807934,0.181321,4275024
1972-09-14,0.807934,0.817817,0.795580,0.800522,0.179658,2069213
1972-09-15,0.802993,0.815346,0.802993,0.812876,0.182431,1158557
1972-09-18,0.812876,0.825229,0.805463,0.815346,0.182985,728525
1972-09-19,0.815346,0.832642,0.810405,0.825229,0.185203,849946
1972-09-20,0.825229,0.835112,0.815346,0.822759,0.184649,1158557
1972-09-21,0.822759,0.832642,0.820288,0.825229,0.185203,1340688
1972-09-22,0.825229,0.830171,0.815346,0.817817,0.183539,1290096
1972-09-25,0.817817,0.817817,0.800522,0.810405,0.181876,6799565
1972-09-26,0.810405,0.825229,0.805463,0.825229,0.185203,2018621
1972-09-27,0.830171,0.844995,0.830171,0.844995,0.189639,2038858
1972-09-28,0.844995,0.849937,0.832642,0.849937,0.190748,5752310
1972-09-29,0.849937,0.849937,0.840054,0.847466,0.190193,2276640
1972-10-02,0.842525,0.842525,0.835112,0.835112,0.187421,2590310
1972-10-03,0.832642,0.832642,0.817817,0.817817,0.183539,784176
1972-10-04,0.817817,0.832642,0.812876,0.817817,0.183539,1922496
1972-10-05,0.805463,0.805463,0.783227,0.788168,0.176885,8261674
1972-10-06,0.788168,0.805463,0.785697,0.802993,0.180213,2403120
1972-10-09,0.802993,0.805463,0.798051,0.798051,0.179103,986544
1972-10-10,0.798051,0.815346,0.795580,0.805463,0.180767,1411517
1972-10-11,0.805463,0.812876,0.793110,0.802993,0.180213,2048976
1972-10-12,0.802993,0.802993,0.790639,0.795580,0.178549,3232829
1972-10-13,0.795580,0.795580,0.783227,0.785697,0.176331,3020342
1972-10-16,0.785697,0.793110,0.778285,0.780756,0.175222,1826371
1972-10-17,0.780756,0.788168,0.780756,0.788168,0.176885,2838211
